Campaign_ID,Campaign_Name,Channel,Start_Date,End_Date,Objective
CAMP030,Godrej Riverine - Video Awareness,Facebook,2025-09-16,2025-12-11,Lead Generation
CAMP031,Godrej Riverine - Video Awareness,Facebook,2026-07-28,2026-10-18,Brand Awareness
CAMP032,Godrej Riverine - High Net Worth Search,Google Ads,2025-05-10,2025-06-25,Brand Awareness
CAMP033,Godrej Riverine - High Net Worth Search,Google Ads,2024-06-28,2024-07-29,Site Visit Drive
CAMP034,Godrej Riverine - Luxury Homes Search,Google Ads,2025-09-06,2025-10-13,Lead Generation
CAMP035,Godrej Riverine - CXO Outreach,LinkedIn,2025-04-16,2025-07-06,Festive Sales Push
CAMP036,Godrej Riverine - Luxury Homes Search,Google Ads,2025-11-12,2026-01-02,Lead Generation
CAMP037,Godrej Riverine - Influencer Amplify,Instagram,2025-01-23,2025-04-22,Site Visit Drive
CAMP038,Godrej Riverine - High Net Worth Search,Google Ads,2024-11-13,2025-01-18,Lead Generation
CAMP039,Godrej Riverine - Airport Express Branding,Metro Branding,2024-05-09,2024-07-09,Brand Awareness
CAMP040,Godrej Riverine - Luxury Homes Search,Google Ads,2026-09-21,2026-10-18,Lead Generation
CAMP041,Godrej Riverine - Luxury Homes Search,Google Ads,2026-02-19,2026-04-21,Lead Generation
CAMP042,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2025-04-26,2025-06-11,Lead Generation
CAMP043,Godrej Riverine - Video Awareness,Facebook,2024-08-30,2024-11-17,Site Visit Drive
CAMP044,Godrej Riverine - Blue Line Branding,Metro Branding,2025-10-11,2025-11-09,Brand Awareness
CAMP045,Godrej Riverine - Executive Network Push,LinkedIn,2025-03-02,2025-04-04,Lead Generation
CAMP046,Godrej Riverine - Airport Express Branding,Metro Branding,2025-10-18,2025-12-23,Retargeting
CAMP047,Godrej Riverine - Search Intent,Google Ads,2024-04-03,2024-06-09,Festive Sales Push
CAMP048,Godrej Riverine - Lookalike HNI Audience,Facebook,2024-07-09,2024-09-25,Festive Sales Push
CAMP049,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-01-29,2026-03-26,Lead Generation
CAMP050,Godrej Riverine - Blue Line Branding,Metro Branding,2024-03-04,2024-04-19,Lead Generation
CAMP051,Godrej Riverine - Influencer Amplify,Instagram,2025-12-01,2026-01-11,Lead Generation
CAMP052,Godrej Riverine - Lookalike HNI Audience,Facebook,2025-03-01,2025-04-16,Lead Generation
CAMP053,Godrej Riverine - Luxury Homes Search,Google Ads,2024-01-04,2024-03-10,Lead Generation
CAMP054,Godrej Riverine - Influencer Amplify,Instagram,2026-03-01,2026-04-27,Brand Awareness
CAMP055,Godrej Riverine - Reels Luxury Living,Instagram,2025-12-24,2026-02-02,Lead Generation
CAMP056,Godrej Riverine - High Net Worth Search,Google Ads,2026-04-22,2026-05-27,Lead Generation
CAMP057,Godrej Riverine - Blue Line Branding,Metro Branding,2026-07-14,2026-09-21,Festive Sales Push
CAMP058,Godrej Riverine - Story Ads Riverfront,Instagram,2026-01-24,2026-03-02,Brand Awareness
CAMP059,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2026-05-19,2026-06-22,Lead Generation
CAMP060,Godrej Riverine - Lead Gen Carousel,Facebook,2024-04-27,2024-06-09,Site Visit Drive
CAMP061,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-08-07,2026-10-25,Lead Generation
CAMP062,Godrej Riverine - CXO Outreach,LinkedIn,2026-08-02,2026-09-23,Brand Awareness
CAMP063,Godrej Riverine - Business Owner Targeting,LinkedIn,2025-12-18,2026-02-17,Lead Generation
CAMP064,Godrej Riverine - Search Intent,Google Ads,2026-04-09,2026-05-04,Brand Awareness
CAMP065,Godrej Riverine - Reels Luxury Living,Instagram,2026-02-05,2026-03-21,Site Visit Drive
CAMP066,Godrej Riverine - High Net Worth Search,Google Ads,2026-06-26,2026-09-06,Brand Awareness
CAMP067,Godrej Riverine - Story Ads Riverfront,Instagram,2026-07-08,2026-09-20,Lead Generation
CAMP068,Godrej Riverine - Luxury Homes Search,Google Ads,2025-06-25,2025-08-24,Site Visit Drive
CAMP069,Godrej Riverine - HT Property Special,Newspaper Insert,2026-04-24,2026-07-14,Festive Sales Push
CAMP070,Godrej Riverine - High Net Worth Search,Google Ads,2026-08-04,2026-09-13,Lead Generation
CAMP071,Godrej Riverine - CXO Outreach,LinkedIn,2024-11-03,2024-12-04,Lead Generation
CAMP072,Godrej Riverine - Story Ads Riverfront,Instagram,2024-02-18,2024-03-14,Lead Generation
CAMP073,Godrej Riverine - Airport Express Branding,Metro Branding,2024-06-24,2024-07-27,Retargeting
CAMP074,Godrej Riverine - Business Owner Targeting,LinkedIn,2024-02-01,2024-04-14,Retargeting
CAMP075,Godrej Riverine - Search Intent,Google Ads,2025-03-25,2025-06-16,Lead Generation
CAMP076,Godrej Riverine - Blue Line Branding,Metro Branding,2024-01-21,2024-02-19,Retargeting
CAMP077,Godrej Riverine - ET Wealth Insert,Newspaper Insert,2024-09-24,2024-11-18,Lead Generation
CAMP078,Godrej Riverine - ET Wealth Insert,Newspaper Insert,2024-09-18,2024-10-17,Brand Awareness
CAMP079,Godrej Riverine - Lead Gen Carousel,Facebook,2025-12-31,2026-03-20,Brand Awareness
CAMP080,Godrej Riverine - Luxury Homes Search,Google Ads,2024-09-14,2024-10-13,Festive Sales Push
CAMP081,Godrej Riverine - Luxury Homes Search,Google Ads,2026-09-09,2026-11-12,Lead Generation
CAMP082,Godrej Riverine - HT Property Special,Newspaper Insert,2024-07-12,2024-08-06,Lead Generation
CAMP083,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-10-01,2026-12-11,Brand Awareness
CAMP084,Godrej Riverine - Search Intent,Google Ads,2025-08-09,2025-10-31,Lead Generation
CAMP085,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2024-09-09,2024-11-19,Lead Generation
CAMP086,Godrej Riverine - Executive Network Push,LinkedIn,2024-02-10,2024-03-19,Brand Awareness
CAMP087,Godrej Riverine - Lead Gen Carousel,Facebook,2024-11-12,2025-01-29,Festive Sales Push
CAMP088,Godrej Riverine - Story Ads Riverfront,Instagram,2025-09-02,2025-10-13,Site Visit Drive
CAMP089,Godrej Riverine - Influencer Amplify,Instagram,2024-04-22,2024-07-03,Festive Sales Push
CAMP090,Godrej Riverine - Luxury Homes Search,Google Ads,2024-06-20,2024-09-06,Site Visit Drive
CAMP091,Godrej Riverine - Search Intent,Google Ads,2024-04-28,2024-06-20,Site Visit Drive
CAMP092,Godrej Riverine - NCR Metro Visibility,Metro Branding,2025-12-01,2026-02-02,Festive Sales Push
CAMP093,Godrej Riverine - Reels Luxury Living,Instagram,2024-04-01,2024-06-19,Site Visit Drive
CAMP094,Godrej Riverine - Video Awareness,Facebook,2024-01-22,2024-02-24,Site Visit Drive
CAMP095,Godrej Riverine - Reels Luxury Living,Instagram,2025-04-16,2025-05-07,Lead Generation
CAMP096,Godrej Riverine - NCR Metro Visibility,Metro Branding,2024-11-17,2025-01-06,Lead Generation
CAMP097,Godrej Riverine - High Net Worth Search,Google Ads,2025-08-12,2025-09-13,Site Visit Drive
CAMP098,Godrej Riverine - Story Ads Riverfront,Instagram,2026-08-28,2026-11-17,Lead Generation
CAMP099,Godrej Riverine - Search Intent,Google Ads,2026-06-05,2026-08-24,Festive Sales Push
CAMP100,Godrej Riverine - Search Intent,Google Ads,2025-07-10,2025-08-25,Brand Awareness
CAMP101,Godrej Riverine - ET Wealth Insert,Newspaper Insert,2025-10-26,2025-12-06,Lead Generation
CAMP102,Godrej Riverine - Business Owner Targeting,LinkedIn,2026-04-19,2026-06-27,Retargeting
CAMP103,Godrej Riverine - Reels Luxury Living,Instagram,2025-03-28,2025-05-18,Lead Generation
CAMP104,Godrej Riverine - Video Awareness,Facebook,2025-11-11,2025-12-07,Brand Awareness
CAMP105,Godrej Riverine - Blue Line Branding,Metro Branding,2024-08-11,2024-10-16,Lead Generation
CAMP106,Godrej Riverine - Influencer Amplify,Instagram,2025-09-23,2025-12-02,Retargeting
CAMP107,Godrej Riverine - Lead Gen Carousel,Facebook,2024-09-02,2024-09-26,Brand Awareness
CAMP108,Godrej Riverine - Business Owner Targeting,LinkedIn,2024-07-16,2024-09-28,Festive Sales Push
CAMP109,Godrej Riverine - Influencer Amplify,Instagram,2026-02-26,2026-04-24,Lead Generation
CAMP110,Godrej Riverine - Video Awareness,Facebook,2025-08-16,2025-11-01,Festive Sales Push
CAMP111,Godrej Riverine - Airport Express Branding,Metro Branding,2025-01-24,2025-04-13,Site Visit Drive
CAMP112,Godrej Riverine - HT Property Special,Newspaper Insert,2024-02-11,2024-04-18,Site Visit Drive
CAMP113,Godrej Riverine - Luxury Homes Search,Google Ads,2024-09-01,2024-10-14,Retargeting
CAMP114,Godrej Riverine - HT Property Special,Newspaper Insert,2026-04-08,2026-05-23,Brand Awareness
CAMP115,Godrej Riverine - High Net Worth Search,Google Ads,2025-04-29,2025-07-08,Brand Awareness
CAMP116,Godrej Riverine - Blue Line Branding,Metro Branding,2026-09-19,2026-10-13,Site Visit Drive
CAMP117,Godrej Riverine - NCR Metro Visibility,Metro Branding,2026-07-20,2026-08-25,Festive Sales Push
CAMP118,Godrej Riverine - Search Intent,Google Ads,2026-06-02,2026-07-28,Lead Generation
CAMP119,Godrej Riverine - Story Ads Riverfront,Instagram,2024-01-17,2024-04-11,Site Visit Drive
CAMP120,Godrej Riverine - NCR Metro Visibility,Metro Branding,2024-02-22,2024-05-05,Lead Generation
CAMP121,Godrej Riverine - High Net Worth Search,Google Ads,2025-08-21,2025-11-06,Brand Awareness
CAMP122,Godrej Riverine - Video Awareness,Facebook,2024-12-16,2025-01-18,Site Visit Drive
CAMP123,Godrej Riverine - Airport Express Branding,Metro Branding,2026-05-20,2026-06-28,Lead Generation
CAMP124,Godrej Riverine - Video Awareness,Facebook,2024-11-24,2025-01-01,Site Visit Drive
CAMP125,Godrej Riverine - Business Owner Targeting,LinkedIn,2024-06-07,2024-08-18,Lead Generation
CAMP126,Godrej Riverine - Search Intent,Google Ads,2024-04-26,2024-06-22,Retargeting
CAMP127,Godrej Riverine - Search Intent,Google Ads,2024-11-07,2024-12-11,Brand Awareness
CAMP128,Godrej Riverine - Influencer Amplify,Instagram,2025-10-09,2025-12-20,Brand Awareness
CAMP129,Godrej Riverine - High Net Worth Search,Google Ads,2024-05-10,2024-07-13,Site Visit Drive
CAMP130,Godrej Riverine - Influencer Amplify,Instagram,2026-04-04,2026-06-25,Brand Awareness
CAMP131,Godrej Riverine - HT Property Special,Newspaper Insert,2024-11-08,2025-01-06,Site Visit Drive
CAMP132,Godrej Riverine - Lookalike HNI Audience,Facebook,2024-11-20,2024-12-18,Lead Generation
CAMP133,Godrej Riverine - Reels Luxury Living,Instagram,2025-11-16,2026-02-06,Brand Awareness
CAMP134,Godrej Riverine - Search Intent,Google Ads,2026-06-11,2026-07-13,Brand Awareness
CAMP135,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2025-03-26,2025-04-18,Retargeting
CAMP136,Godrej Riverine - Influencer Amplify,Instagram,2026-04-04,2026-06-18,Lead Generation
CAMP137,Godrej Riverine - HT Property Special,Newspaper Insert,2024-11-11,2025-01-01,Brand Awareness
CAMP138,Godrej Riverine - Lead Gen Carousel,Facebook,2024-05-13,2024-07-17,Site Visit Drive
CAMP139,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-05-06,2026-06-04,Brand Awareness
CAMP140,Godrej Riverine - HT Property Special,Newspaper Insert,2026-03-03,2026-05-12,Lead Generation
CAMP141,Godrej Riverine - Blue Line Branding,Metro Branding,2026-02-15,2026-04-04,Brand Awareness
CAMP142,Godrej Riverine - Lookalike HNI Audience,Facebook,2026-07-01,2026-09-28,Lead Generation
CAMP143,Godrej Riverine - Reels Luxury Living,Instagram,2025-05-30,2025-08-02,Lead Generation
CAMP144,Godrej Riverine - Blue Line Branding,Metro Branding,2024-07-22,2024-10-15,Festive Sales Push
CAMP145,Godrej Riverine - Influencer Amplify,Instagram,2025-08-27,2025-11-10,Lead Generation
CAMP146,Godrej Riverine - ToI Weekend Insert,Newspaper Insert,2025-08-16,2025-11-03,Brand Awareness
CAMP147,Godrej Riverine - Search Intent,Google Ads,2025-02-03,2025-03-01,Site Visit Drive
CAMP148,Godrej Riverine - Story Ads Riverfront,Instagram,2025-10-22,2026-01-04,Site Visit Drive
CAMP149,Godrej Riverine - Lead Gen Carousel,Facebook,2024-09-29,2024-11-30,Brand Awareness
CAMP150,Godrej Riverine - HT Property Special,Newspaper Insert,2025-09-22,2025-11-08,Festive Sales Push
